,broad_type
704,Glutamatergic Neuron
705,Glutamatergic Neuron
706,Glutamatergic Neuron
707,Glutamatergic Neuron
708,Glutamatergic Neuron
709,Glutamatergic Neuron
710,Glutamatergic Neuron
711,Glutamatergic Neuron
712,Glutamatergic Neuron
713,Glutamatergic Neuron
714,Glutamatergic Neuron
715,Glutamatergic Neuron
716,Glutamatergic Neuron
717,Glutamatergic Neuron
718,Glutamatergic Neuron
719,Glutamatergic Neuron
720,Glutamatergic Neuron
721,Glutamatergic Neuron
722,Glutamatergic Neuron
723,Glutamatergic Neuron
724,Glutamatergic Neuron
725,Glutamatergic Neuron
726,Glutamatergic Neuron
727,Glutamatergic Neuron
728,Glutamatergic Neuron
729,Glutamatergic Neuron
730,Glutamatergic Neuron
731,Glutamatergic Neuron
732,Glutamatergic Neuron
733,Glutamatergic Neuron
734,Glutamatergic Neuron
735,Glutamatergic Neuron
736,Glutamatergic Neuron
737,Glutamatergic Neuron
738,Glutamatergic Neuron
739,Glutamatergic Neuron
740,Glutamatergic Neuron
741,Glutamatergic Neuron
742,Glutamatergic Neuron
743,Glutamatergic Neuron
744,Glutamatergic Neuron
745,Glutamatergic Neuron
746,Glutamatergic Neuron
747,Glutamatergic Neuron
748,Glutamatergic Neuron
749,Glutamatergic Neuron
750,Glutamatergic Neuron
751,Glutamatergic Neuron
752,Glutamatergic Neuron
753,Glutamatergic Neuron
754,Glutamatergic Neuron
755,Glutamatergic Neuron
756,Glutamatergic Neuron
757,Glutamatergic Neuron
758,Glutamatergic Neuron
759,Glutamatergic Neuron
760,Glutamatergic Neuron
761,Glutamatergic Neuron
762,Glutamatergic Neuron
763,Glutamatergic Neuron
764,Glutamatergic Neuron
765,Glutamatergic Neuron
766,Glutamatergic Neuron
767,Glutamatergic Neuron
768,Glutamatergic Neuron
769,Glutamatergic Neuron
770,Glutamatergic Neuron
771,Glutamatergic Neuron
772,Glutamatergic Neuron
773,Glutamatergic Neuron
774,Glutamatergic Neuron
775,Glutamatergic Neuron
776,Glutamatergic Neuron
777,Glutamatergic Neuron
778,Glutamatergic Neuron
779,Glutamatergic Neuron
780,Glutamatergic Neuron
781,Glutamatergic Neuron
782,Glutamatergic Neuron
783,Glutamatergic Neuron
784,Glutamatergic Neuron
785,Glutamatergic Neuron
786,Glutamatergic Neuron
787,Glutamatergic Neuron
788,Glutamatergic Neuron
789,Glutamatergic Neuron
790,Glutamatergic Neuron
791,Glutamatergic Neuron
792,Glutamatergic Neuron
793,Glutamatergic Neuron
794,Glutamatergic Neuron
795,Glutamatergic Neuron
796,Glutamatergic Neuron
797,Glutamatergic Neuron
798,Glutamatergic Neuron
799,Glutamatergic Neuron
800,Glutamatergic Neuron
801,Glutamatergic Neuron
802,Glutamatergic Neuron
803,Glutamatergic Neuron
804,Glutamatergic Neuron
805,Glutamatergic Neuron
806,Glutamatergic Neuron
807,Glutamatergic Neuron
808,Glutamatergic Neuron
809,Glutamatergic Neuron
810,Glutamatergic Neuron
811,Glutamatergic Neuron
812,Glutamatergic Neuron
813,Glutamatergic Neuron
814,Glutamatergic Neuron
815,Glutamatergic Neuron
816,Glutamatergic Neuron
817,Glutamatergic Neuron
818,Glutamatergic Neuron
819,Glutamatergic Neuron
820,Glutamatergic Neuron
821,Glutamatergic Neuron
822,Glutamatergic Neuron
823,Glutamatergic Neuron
824,Glutamatergic Neuron
825,Glutamatergic Neuron
826,Glutamatergic Neuron
827,Glutamatergic Neuron
828,Glutamatergic Neuron
829,Glutamatergic Neuron
830,Glutamatergic Neuron
831,Glutamatergic Neuron
832,Glutamatergic Neuron
833,Glutamatergic Neuron
834,Glutamatergic Neuron
835,Glutamatergic Neuron
836,Glutamatergic Neuron
837,Glutamatergic Neuron
838,Glutamatergic Neuron
839,Glutamatergic Neuron
840,Glutamatergic Neuron
841,Glutamatergic Neuron
842,Glutamatergic Neuron
843,Glutamatergic Neuron
844,Glutamatergic Neuron
845,Glutamatergic Neuron
846,Glutamatergic Neuron
847,Glutamatergic Neuron
848,Glutamatergic Neuron
849,Glutamatergic Neuron
850,Glutamatergic Neuron
851,Glutamatergic Neuron
852,Glutamatergic Neuron
853,Glutamatergic Neuron
854,Glutamatergic Neuron
855,Glutamatergic Neuron
856,Glutamatergic Neuron
857,Glutamatergic Neuron
858,Glutamatergic Neuron
859,Glutamatergic Neuron
860,Glutamatergic Neuron
861,Glutamatergic Neuron
862,Glutamatergic Neuron
863,Glutamatergic Neuron
864,Glutamatergic Neuron
865,Glutamatergic Neuron
866,Glutamatergic Neuron
867,Glutamatergic Neuron
868,Glutamatergic Neuron
869,Glutamatergic Neuron
870,Glutamatergic Neuron
871,Glutamatergic Neuron
872,Glutamatergic Neuron
873,Glutamatergic Neuron
874,Glutamatergic Neuron
875,Glutamatergic Neuron
876,Glutamatergic Neuron
877,Glutamatergic Neuron
878,Glutamatergic Neuron
879,Glutamatergic Neuron
880,Glutamatergic Neuron
881,Glutamatergic Neuron
882,Glutamatergic Neuron
883,Glutamatergic Neuron
884,Glutamatergic Neuron
885,Glutamatergic Neuron
886,Glutamatergic Neuron
887,Glutamatergic Neuron
888,Glutamatergic Neuron
889,Glutamatergic Neuron
890,Glutamatergic Neuron
891,Glutamatergic Neuron
892,Glutamatergic Neuron
893,Glutamatergic Neuron
894,Glutamatergic Neuron
895,Glutamatergic Neuron
896,Glutamatergic Neuron
897,Glutamatergic Neuron
898,Glutamatergic Neuron
899,Glutamatergic Neuron
900,Glutamatergic Neuron
901,Glutamatergic Neuron
902,Glutamatergic Neuron
903,Glutamatergic Neuron
904,Glutamatergic Neuron
905,Glutamatergic Neuron
906,Glutamatergic Neuron
907,Microglia
908,Microglia
909,Microglia
910,Microglia
911,Microglia
912,Microglia
913,Microglia
914,Microglia
915,Microglia
916,Microglia
917,Microglia
918,Microglia
919,Microglia
920,Microglia
921,Microglia
922,Microglia
923,Microglia
924,Microglia
925,Microglia
926,Microglia
927,Microglia
928,Microglia
929,Unclassified
930,Unclassified
931,Unclassified
932,Unclassified
933,Unclassified
934,Unclassified
935,Unclassified
936,Unclassified
937,Unclassified
938,Unclassified
939,Unclassified
940,Unclassified
941,Unclassified
942,Unclassified
943,Unclassified
944,Unclassified
945,Unclassified
946,Unclassified
947,Unclassified
948,Unclassified
949,Unclassified
950,Unclassified
951,Unclassified
952,Unclassified
953,Unclassified
954,Unclassified
955,Unclassified
956,Unclassified
957,Unclassified
958,Unclassified
959,Unclassified
960,Unclassified
961,Unclassified
962,Unclassified
963,Unclassified
964,Unclassified
965,Unclassified
966,Unclassified
967,Unclassified
968,Unclassified
969,Unclassified
970,Unclassified
971,Unclassified
